bookingId,airbnbHostId,listingId,amenitiesId,airbnbPropertyId,reviewId,checkInOutId,locationId,pricingId,occupancyRateLtm,numberOfBookingsLtm,numberOfBookingsLtmObservedMonth,countBlockedDaysLtm,instantBookEnabled,countReservationDaysLtm,countavailableDaysLtm,annualRevenueLtmUSD,annualRevenueLtmNative
LOSBOK132,199420880,LOSLIS132,LOSAMT132,43859696,LOSREV132,LOSCHK132,LOSLOC132,LOSPRC132,40,21,18,56,FALSE,103,309,71315,71315
LOSBOK399,866477,LOSLIS399,LOSAMT399,1305483,LOSREV399,LOSCHK399,LOSLOC399,LOSPRC399,94,1,-2,304,FALSE,48,61,9995,9995
LOSBOK189,80707196,LOSLIS189,LOSAMT189,13762917,LOSREV189,LOSCHK189,LOSLOC189,LOSPRC189,85,27,24,160,FALSE,146,205,40029,40029
LOSBOK52,1458653,LOSLIS52,LOSAMT52,53756253,LOSREV52,LOSCHK52,LOSLOC52,LOSPRC52,72,9,6,162,FALSE,121,203,89531,89531
LOSBOK197,3003777,LOSLIS197,LOSAMT197,3817210,LOSREV197,LOSCHK197,LOSLOC197,LOSPRC197,19,0,-10,113,FALSE,40,252,24323,24323
LOSBOK156,40712381,LOSLIS156,LOSAMT156,52650835,LOSREV156,LOSCHK156,LOSLOC156,LOSPRC156,55,12,9,149,TRUE,101,216,175964,175964
LOSBOK484,430009231,LOSLIS484,LOSAMT484,53624433,LOSREV484,LOSCHK484,LOSLOC484,LOSPRC484,86,2,-1,358,FALSE,5,7,2089,2089
LOSBOK169,161489684,LOSLIS169,LOSAMT169,22209393,LOSREV169,LOSCHK169,LOSLOC169,LOSPRC169,74,146,143,23,TRUE,211,342,42011,42011
LOSBOK122,7356043,LOSLIS122,LOSAMT122,32047649,LOSREV122,LOSCHK122,LOSLOC122,LOSPRC122,51,14,11,110,FALSE,108,255,82180,82180
LOSBOK475,17939609,LOSLIS475,LOSAMT475,3563030,LOSREV475,LOSCHK475,LOSLOC475,LOSPRC475,32,1,-2,297,TRUE,18,68,2256,2256
LOSBOK212,100841421,LOSLIS212,LOSAMT212,34747580,LOSREV212,LOSCHK212,LOSLOC212,LOSPRC212,79,3,0,333,FALSE,21,32,20587,20587
LOSBOK276,84165483,LOSLIS276,LOSAMT276,34047030,LOSREV276,LOSCHK276,LOSLOC276,LOSPRC276,15,7,4,227,TRUE,17,138,10303,10303
LOSBOK165,382900463,LOSLIS165,LOSAMT165,52195911,LOSREV165,LOSCHK165,LOSLOC165,LOSPRC165,47,0,3,343,TRUE,12,22,5405,5405
LOSBOK14,25362470,LOSLIS14,LOSAMT14,27084116,LOSREV14,LOSCHK14,LOSLOC14,LOSPRC14,94,142,139,27,FALSE,266,338,43826,43826
LOSBOK351,132362306,LOSLIS351,LOSAMT351,42487767,LOSREV351,LOSCHK351,LOSLOC351,LOSPRC351,82,1,-2,305,TRUE,41,60,3238,3238
LOSBOK330,62702617,LOSLIS330,LOSAMT330,41427466,LOSREV330,LOSCHK330,LOSLOC330,LOSPRC330,88,38,35,26,TRUE,249,339,118239,118239
LOSBOK250,11167683,LOSLIS250,LOSAMT250,23330137,LOSREV250,LOSCHK250,LOSLOC250,LOSPRC250,78,42,39,120,FALSE,152,245,33224,33224
LOSBOK158,200659000,LOSLIS158,LOSAMT158,47980793,LOSREV158,LOSCHK158,LOSLOC158,LOSPRC158,64,49,46,12,FALSE,187,353,53511,53511
LOSBOK141,208533838,LOSLIS141,LOSAMT141,35203982,LOSREV141,LOSCHK141,LOSLOC141,LOSPRC141,100,19,16,223,TRUE,119,142,18181,18181
LOSBOK324,212707702,LOSLIS324,LOSAMT324,50796743,LOSREV324,LOSCHK324,LOSLOC324,LOSPRC324,70,62,59,63,FALSE,176,302,77836,77836
