airbnbHostId,hostListingCount,superhost
174073004,0,
310751852,0,
32445326,2,
157140705,3,
141303387,1,
147708401,1,
61172932,1,
438355992,0,
80525341,0,
478717835,0,
341329541,0,
236804347,0,
445041153,0,
278284348,0,
480832918,0,
34353017,3,
204810113,1,
256966373,4,
265484072,1,
35174210,0,
48713620,0,
401577855,0,
8439511,0,
357096326,0,
19410772,0,
421327031,0,
233519609,0,
15694113,0,
407565260,3,
217587993,0,
68995261,0,
338730086,2,
82930553,2,
272541886,0,
457130170,0,
507230407,0,
397215050,0,
414576994,1,
483749946,0,
495542294,0,
21662783,4,
24815236,0,
500829112,0,
24815236,70,
202382483,0,
521984904,0,
38819962,2,
355019887,0,
8993084,0,
4392992,0,
182869653,5,
137130688,7,
163384875,3,
1410306,33,
207038607,0,
407565260,3,
212687088,5,
41578875,1,
30960297,0,
14049772,1,
432195450,0,
121252500,6,
42076010,2,
481837613,0,
521038924,0,
11308972,4,
487919944,0,
451342565,0,
24815236,70,
260464120,28,
63542223,2,
238501905,6,
226886945,0,
534417190,0,
398036663,3,
8288419,6,
49357921,0,
248430196,8,
486516533,0,
64634331,0,
147438966,9,
147438966,0,
30143773,3,
383751436,0,
243906967,1,
79506421,0,
11461632,9,
379560163,5,
309096901,0,
461145248,0,
507840095,0,
108827485,1,
535892414,0,
33616515,0,
173266313,0,
207038607,0,
444214724,0,
270808458,1,
121680792,0,
520897082,0,
80574207,0,
429445403,0,
435914865,3,
21194343,2,
421664266,2,
460874179,0,
212693162,0,
212693162,31,
48869670,5,
454531346,0,
370008282,0,
6966161,0,
493990659,0,
500150447,0,
503446175,0,
189095873,4,
403499983,1,
12761839,10,
224643958,1,
445546585,0,
440886754,0,
296080182,0,
484826444,0,
117830460,7,
253576891,0,
306914385,5,
86600847,0,
385025624,0,
40708138,6,
464158654,0,
484261939,0,
392217081,8,
1315486,21,
276665775,3,
408018781,17,
404071311,3,
43179626,0,
39277795,6,
76854135,1,
535892414,0,
274518879,0,
223742017,0,
413314187,0,
343392778,0,
7832638,0,
74613535,1,
506488955,0,
103100426,0,
31549697,0,
309096901,0,
40708138,6,
236804347,0,
489030073,0,
92856476,0,
484261939,0,
24815236,0,
370008282,25,
44008190,0,
417179471,0,
44787782,2,
471710575,0,
119692067,0,
314868050,1,
219938561,0,
441251868,0,
1513389,3,
490124548,0,
177915409,0,
385750812,0,
430327041,0,
22928740,1,
166490138,1,
486969168,0,
319005137,61,
1410306,33,
13195401,0,
21148422,0,
305115639,0,
95459395,282,
490590687,0,
267066993,0,
480222081,0,
97510627,3,
319894515,1,
199067411,0,
3260817,2,
12979727,71336019,
431065104,0,
16480700,0,
364419390,0,
48005494,1503,
407304997,0,
371972456,101,
371972456,101,
197053492,0,
336064553,4,
371972456,101,
371972456,101,
91571876,0,
9419684,0,
252866861,0,
27487630,0,
31240439,0,
7466070,1,
211549023,0,
739539,4,
486712682,0,
251447997,4,
65890154,0,
345475722,3,
61858667,2,
319005137,0,
514977497,0,
121680792,730,
392898151,58,
5942819,4,
236804347,0,
8282968,0,
149466462,1,
150131124,0,
6958867,39,
9315100,7,
42219345,73,
452311163,0,
25885574,0,
2413839,1,
407304997,0,
371972456,101,
219517861,80,
501999514,0,
262010271,4,
62827933,1,
15857126,1,
2837705,4,
362591996,1,
19638146,3,
188888092,2,
190853040,1,
20580419,0,
239963234,0,
267654602,0,
8379918,1,
120262893,0,
1410306,0,
105703386,0,
33205064,1,
34035977,0,
371972456,101,
10969148,1,
4920221,0,
1410306,33,
13394062,0,
2549076,11,
153017365,1,
5931428,1,
2695451,2,
17056215,4,
1410306,33,
435919537,1,
10458139,1,
473749353,0,
31818219,4,
120618006,0,
265876415,2,
12022058,0,
224414117,28,
433227556,1,
371972456,101,
1616218,2,
5627628,1,
231468237,0,
24592423,7,
463345136,0,
4365106,1,
120421821,2,
407939379,3,
4928796,6,
482140449,0,
481991674,0,
52659070,63,
23126253,11,
136431007,2,
44703029,0,
93727916,0,
442508778,0,
197748572,6,
135955043,0,
73871864,12,
415690678,0,
48895336,1,
119774371,0,
94455732,2,
163251048,150,
357334235,0,
27446767,0,
490590687,0,
20567256,2,
52887462,0,
170903370,0,
52659070,0,
101302148,1,
273242671,0,
520926085,0,
39880517,1,
56061036,1,
291762529,0,
1002705,0,
13264918,1,
314151200,8,
336064553,4,
219517861,80,
107434423,4303,
422002010,0,
248430196,8,
30283594,565,
163251048,150,
58763745,0,
107434423,0,
6103348,0,
257995608,10,
22322427,0,
448326434,0,
6058163,1,
197569717,1,
52789828,8,
23104468,0,
276389083,0,
42219345,73,
1550683,8,
1682132,4,
72541017,0,
107714357,27,
106827457,0,
307633956,6,
470859718,0,
485326696,0,
368709041,1,
31288992,1,
178535875,18,
31240439,0,
51756472,67,
23566374,3,
319005137,0,
4191828,3,
519083583,0,
495558344,0,
232557023,6,
202270072,1,
12829834,2,
199067411,0,
120290129,0,
320763011,0,
219517861,0,
178535875,18,
30283594,565,
145796552,7,
147171551,0,
88174473,6,
319005137,0,
51756472,0,
24592423,7,
20204745,0,
522955888,0,
8612647,1,
281408829,0,
519083583,0,
126000907,0,
5649741,0,
11190436,17,
146599102,0,
95029801,0,
47499199,0,
219517861,80,
4095104,0,
219517861,80,
274604030,0,
45812347,1,
47658174,5,
8483704,1,
8837750,1,
102714959,0,
4928796,6,
458609384,0,
58478540,9,
378709763,0,
1551070,2,
