checkInOutId,checkoutTime,minimumStay,checkinStartTime,checkinEndTime
LOSCHK133,13:00,2.0,11:00,22:00
LOSCHK134,10:00,1.0,16:00,22:00
LOSCHK135,11:00,5.0,16:00,22:00
LOSCHK136,11:00,31.0,15:00,22:00
LOSCHK137,11:00,2.0,15:00,22:00
LOSCHK138,11:00,31.0,15:00,22:00
LOSCHK139,11:00,2.0,14:00,22:00
LOSCHK140,10:00,5.0,15:00,22:00
LOSCHK141,11:00,4.0,15:00,22:00
LOSCHK142,11:00,3.0,15:00,20:00
LOSCHK143,10:00,30.0,16:00,23:00
LOSCHK144,11:00,30.0,13:00,20:00
LOSCHK145,11:00,1.0,16:00,22:00
LOSCHK146,10:00,2.0,16:00,22:00
LOSCHK147,11:00,3.0,16:00,22:00
LOSCHK148,11:00,4.0,15:00,22:00
LOSCHK149,11:00,30.0,14:00,22:00
LOSCHK150,11:00,30.0,16:00,22:00
LOSCHK151,10:00,2.0,15:00,22:00
LOSCHK152,11:00,2.0,15:00,17:00
LOSCHK153,11:00,1.0,16:00,22:00
LOSCHK154,11:00,30.0,16:00,22:00
LOSCHK155,11:00,2.0,16:00,22:00
LOSCHK156,10:00,4.0,00:00,00:00
LOSCHK157,11:00,1.0,15:00,22:00
LOSCHK158,10:00,2.0,15:00,22:00
LOSCHK159,11:00,30.0,16:00,22:00
LOSCHK160,10:00,30.0,15:00,22:00
LOSCHK161,12:00,30.0,16:00,22:00
LOSCHK162,11:00,2.0,15:00,22:00
LOSCHK163,11:00,30.0,15:00,22:00
LOSCHK164,10:00,30.0,12:00,22:00
LOSCHK165,11:00,30.0,16:00,22:00
LOSCHK166,12:00,1.0,14:00,22:00
LOSCHK167,12:00,2.0,16:00,22:00
LOSCHK168,11:00,30.0,15:00,22:00
LOSCHK169,12:00,1.0,15:00,22:00
LOSCHK170,11:00,3.0,16:00,22:00
LOSCHK171,10:00,4.0,16:00,02:00
LOSCHK172,11:00,30.0,15:00,22:00
LOSCHK173,11:00,5.0,15:00,22:00
LOSCHK174,10:00,2.0,15:00,22:00
LOSCHK175,12:00,30.0,00:00,00:00
LOSCHK176,10:00,2.0,15:00,22:00
LOSCHK177,11:00,1.0,17:00,00:00
LOSCHK178,09:00,30.0,15:00,22:00
LOSCHK179,10:00,2.0,13:00,22:00
LOSCHK180,11:00,30.0,16:00,22:00
LOSCHK181,12:00,1.0,15:00,22:00
LOSCHK182,10:00,30.0,15:00,22:00
LOSCHK183,12:00,3.0,17:00,22:00
LOSCHK184,11:00,30.0,16:00,22:00
LOSCHK185,11:00,30.0,14:00,02:00
LOSCHK186,11:00,30.0,00:00,00:00
LOSCHK187,10:00,31.0,15:00,22:00
LOSCHK188,11:00,30.0,15:00,22:00
LOSCHK189,11:00,2.0,16:00,22:00
LOSCHK190,11:00,1.0,15:00,22:00
LOSCHK191,10:00,1.0,15:00,22:00
LOSCHK192,11:00,2.0,15:00,22:00
LOSCHK193,11:00,30.0,16:00,02:00
LOSCHK194,12:00,1.0,15:00,22:00
LOSCHK195,11:00,30.0,16:00,22:00
LOSCHK196,11:00,30.0,15:00,22:00
LOSCHK197,11:00,30.0,20:00,23:00
LOSCHK198,11:00,30.0,15:00,22:00
LOSCHK199,10:00,1.0,15:00,22:00
LOSCHK200,16:00,30.0,15:00,22:00
LOSCHK201,11:00,30.0,15:00,22:00
LOSCHK202,11:00,30.0,15:00,22:00
LOSCHK203,11:00,3.0,15:00,22:00
LOSCHK204,11:00,30.0,15:00,23:00
LOSCHK205,11:00,30.0,15:00,22:00
LOSCHK206,11:00,2.0,16:00,22:00
LOSCHK207,10:00,30.0,15:00,22:00
LOSCHK208,11:00,30.0,15:00,02:00
LOSCHK209,12:00,30.0,15:00,22:00
LOSCHK210,11:00,30.0,16:00,22:00
LOSCHK211,12:00,14.0,14:00,22:00
LOSCHK212,11:00,30.0,15:00,22:00
LOSCHK213,11:00,2.0,16:00,22:00
LOSCHK214,11:00,4.0,16:00,22:00
LOSCHK215,11:00,30.0,15:00,22:00
LOSCHK216,11:00,2.0,15:00,22:00
LOSCHK217,10:00,3.0,15:00,20:00
LOSCHK218,10:00,1.0,15:00,22:00
LOSCHK219,11:00,30.0,15:00,18:00
LOSCHK220,11:00,30.0,15:00,22:00
LOSCHK221,12:00,1.0,14:00,22:00
LOSCHK222,11:00,1.0,15:00,22:00
LOSCHK223,10:00,3.0,15:00,22:00
LOSCHK224,11:00,30.0,15:00,22:00
LOSCHK225,11:00,2.0,16:00,22:00
LOSCHK226,10:00,3.0,16:00,22:00
LOSCHK227,11:00,30.0,15:00,23:00
LOSCHK228,10:00,30.0,16:00,22:00
LOSCHK229,11:00,1.0,16:00,22:00
LOSCHK230,11:00,30.0,13:00,22:00
LOSCHK231,11:00,30.0,16:00,22:00
LOSCHK232,11:00,30.0,16:00,19:00
LOSCHK233,11:00,2.0,15:00,22:00
LOSCHK234,14:00,30.0,14:00,21:00
LOSCHK235,11:00,5.0,15:00,00:00
LOSCHK236,11:00,30.0,15:00,22:00
LOSCHK237,11:00,30.0,15:00,02:00
LOSCHK238,12:00,31.0,16:00,22:00
LOSCHK239,11:00,30.0,00:00,00:00
LOSCHK240,10:00,2.0,15:00,22:00
LOSCHK241,11:00,2.0,16:00,22:00
LOSCHK242,13:00,30.0,00:00,00:00
LOSCHK243,14:00,2.0,17:00,22:00
LOSCHK244,10:00,30.0,17:00,22:00
LOSCHK245,11:00,30.0,15:00,22:00
LOSCHK246,12:00,30.0,00:00,00:00
LOSCHK247,00:00,30.0,14:00,22:00
LOSCHK248,11:00,2.0,15:00,22:00
LOSCHK249,11:00,2.0,15:00,22:00
LOSCHK250,11:00,1.0,15:00,22:00
LOSCHK251,11:00,30.0,15:00,22:00
LOSCHK252,11:00,30.0,13:00,22:00
LOSCHK253,10:00,30.0,15:00,23:00
LOSCHK254,11:00,30.0,15:00,22:00
LOSCHK255,11:00,1.0,16:00,21:00
LOSCHK256,11:00,2.0,16:00,22:00
LOSCHK257,12:00,30.0,15:00,00:00
LOSCHK258,11:00,31.0,16:00,23:00
LOSCHK259,11:00,1.0,15:00,22:00
LOSCHK260,12:00,1.0,15:00,00:00
LOSCHK261,11:00,3.0,14:00,22:00
LOSCHK262,11:00,30.0,16:00,22:00
LOSCHK263,11:00,1.0,15:00,22:00
LOSCHK264,11:00,30.0,16:00,22:00
LOSCHK265,11:00,3.0,15:00,22:00
LOSCHK266,11:00,31.0,16:00,21:00
LOSCHK267,10:00,30.0,16:00,22:00
LOSCHK268,11:00,30.0,14:00,22:00
LOSCHK269,10:00,30.0,16:00,22:00
LOSCHK270,11:00,1.0,16:00,22:00
LOSCHK271,11:00,2.0,14:00,22:00
LOSCHK272,11:00,30.0,16:00,22:00
LOSCHK273,10:00,3.0,16:00,22:00
LOSCHK274,11:00,2.0,15:00,22:00
LOSCHK275,11:00,2.0,15:00,22:00
LOSCHK276,11:00,2.0,16:00,22:00
LOSCHK277,11:00,2.0,15:00,22:00
LOSCHK278,10:00,2.0,15:00,22:00
LOSCHK279,11:00,30.0,15:00,21:00
LOSCHK280,11:00,2.0,16:00,22:00
LOSCHK281,11:00,2.0,14:00,22:00
LOSCHK282,11:00,2.0,16:00,22:00
LOSCHK283,10:00,1.0,16:00,22:00
LOSCHK284,11:00,2.0,16:00,22:00
LOSCHK285,11:00,30.0,15:00,22:00
LOSCHK286,11:00,3.0,15:00,22:00
LOSCHK287,11:00,30.0,16:00,22:00
LOSCHK288,12:00,30.0,12:00,22:00
LOSCHK289,10:00,30.0,15:00,23:00
LOSCHK290,11:00,2.0,15:00,22:00
LOSCHK291,11:00,3.0,16:00,22:00
LOSCHK292,11:00,3.0,16:00,21:00
LOSCHK293,11:00,30.0,16:00,22:00
LOSCHK294,11:00,30.0,16:00,22:00
LOSCHK295,12:00,7.0,15:00,22:00
LOSCHK296,11:00,2.0,15:00,22:00
LOSCHK297,11:00,1.0,15:00,02:00
LOSCHK298,11:00,2.0,16:00,22:00
LOSCHK299,11:00,14.0,15:00,22:00
LOSCHK300,10:00,2.0,16:00,22:00
LOSCHK301,10:00,30.0,15:00,22:00
LOSCHK302,11:00,2.0,16:00,22:00
LOSCHK303,11:00,2.0,15:00,22:00
LOSCHK304,11:00,1.0,16:00,00:00
LOSCHK305,11:00,30.0,16:00,22:00
LOSCHK306,12:00,30.0,16:00,22:00
LOSCHK307,11:00,30.0,16:00,22:00
LOSCHK308,11:00,3.0,14:00,22:00
LOSCHK309,12:00,30.0,15:00,22:00
LOSCHK310,11:00,2.0,15:00,00:00
LOSCHK311,11:00,30.0,15:00,22:00
LOSCHK312,10:00,30.0,16:00,22:00
LOSCHK313,11:00,3.0,16:00,00:00
LOSCHK314,11:00,1.0,16:00,02:00
LOSCHK315,11:00,30.0,11:00,21:00
LOSCHK316,11:00,1.0,16:00,22:00
LOSCHK317,11:00,3.0,15:00,22:00
LOSCHK318,10:00,31.0,15:00,22:00
LOSCHK319,11:00,7.0,15:00,22:00
LOSCHK320,11:00,3.0,16:00,21:00
LOSCHK321,11:00,30.0,17:00,22:00
LOSCHK322,12:00,30.0,17:00,23:00
LOSCHK323,11:00,30.0,19:00,02:00
LOSCHK324,10:00,1.0,15:00,22:00
LOSCHK325,11:00,30.0,16:00,22:00
LOSCHK326,12:00,2.0,15:00,22:00
LOSCHK327,11:00,2.0,14:00,22:00
LOSCHK328,11:00,2.0,17:00,22:00
LOSCHK329,11:00,2.0,15:00,22:00
LOSCHK330,11:00,2.0,16:00,22:00
LOSCHK331,11:00,2.0,15:00,22:00
LOSCHK332,11:00,3.0,16:00,22:00
LOSCHK333,10:00,4.0,15:00,22:00
LOSCHK334,11:00,2.0,15:00,22:00
LOSCHK335,12:00,1.0,14:00,22:00
LOSCHK336,11:00,1.0,15:00,22:00
LOSCHK337,11:00,4.0,16:00,22:00
LOSCHK338,11:00,30.0,16:00,22:00
LOSCHK339,11:00,1.0,15:00,02:00
LOSCHK340,11:00,30.0,16:00,22:00
LOSCHK341,10:00,4.0,16:00,22:00
LOSCHK342,11:00,30.0,15:00,22:00
LOSCHK343,10:00,30.0,15:00,22:00
LOSCHK344,10:00,30.0,15:00,22:00
LOSCHK345,12:00,1.0,16:00,22:00
LOSCHK346,11:00,2.0,15:00,22:00
LOSCHK347,11:00,30.0,13:00,22:00
LOSCHK348,11:00,1.0,15:00,22:00
LOSCHK349,12:00,2.0,16:00,22:00
LOSCHK350,10:00,2.0,15:00,22:00
LOSCHK351,10:00,58.0,15:00,20:00
LOSCHK352,10:00,31.0,15:00,22:00
LOSCHK353,11:00,30.0,16:00,22:00
LOSCHK354,11:00,30.0,15:00,22:00
LOSCHK355,11:00,2.0,14:00,22:00
LOSCHK356,11:00,30.0,15:00,22:00
LOSCHK357,10:00,2.0,15:00,22:00
LOSCHK358,12:00,2.0,15:00,22:00
LOSCHK359,11:00,2.0,15:00,22:00
LOSCHK360,11:00,30.0,15:00,20:00
LOSCHK361,11:00,3.0,15:00,22:00
LOSCHK362,11:00,4.0,16:00,22:00
LOSCHK363,11:00,30.0,15:00,22:00
LOSCHK364,11:00,4.0,15:00,22:00
LOSCHK365,11:00,4.0,16:00,22:00
LOSCHK366,11:00,3.0,15:00,22:00
LOSCHK367,12:00,30.0,12:00,20:00
LOSCHK368,11:00,3.0,15:00,22:00
LOSCHK369,10:00,3.0,16:00,02:00
LOSCHK370,10:00,3.0,15:00,20:00
LOSCHK371,11:00,2.0,16:00,00:00
LOSCHK372,10:00,30.0,16:00,22:00
LOSCHK373,11:00,3.0,15:00,22:00
LOSCHK374,12:00,31.0,00:00,00:00
LOSCHK375,11:00,7.0,16:00,22:00
LOSCHK376,11:00,5.0,16:00,22:00
LOSCHK377,11:00,1.0,15:00,02:00
LOSCHK378,12:00,30.0,15:00,22:00
LOSCHK379,11:00,30.0,15:00,22:00
LOSCHK380,11:00,31.0,15:00,22:00
LOSCHK381,11:00,30.0,15:00,22:00
LOSCHK382,11:00,3.0,16:00,02:00
LOSCHK383,10:00,30.0,15:00,22:00
LOSCHK384,12:00,30.0,13:00,23:00
LOSCHK385,11:00,2.0,16:00,22:00
LOSCHK386,11:00,2.0,15:00,22:00
